north,south,east,west,servo1,servo2,servo3,servo4
-90.0,-45.0,12.5,10.0,0.662,1.168,1.624,1.624
-90.0,-45.0,12.5,10.0,0.663,1.169,1.624,1.625
-90.0,-45.0,12.5,10.0,0.661,1.17,1.624,1.625
-90.0,-45.0,12.5,10.0,0.661,1.169,1.625,1.624
-90.0,-45.0,12.5,10.0,0.662,1.169,1.624,1.625
-90.0,-45.0,12.5,10.0,0.661,1.168,1.625,1.624
-90.0,-45.0,12.5,10.0,0.661,1.17,1.625,1.624
-90.0,-45.0,12.5,10.0,0.662,1.169,1.625,1.626
-90.0,-45.0,12.5,10.0,0.66,1.17,1.626,1.623
-90.0,-45.0,12.5,10.0,0.659,1.168,1.624,1.624
-90.0,-45.0,12.5,10.0,0.664,1.169,1.625,1.625
-90.0,-45.0,12.5,10.0,0.662,1.169,1.625,1.625
-90.0,-45.0,12.5,50.0,0.658,1.169,1.625,1.629
-90.0,-45.0,17.5,50.0,0.661,1.17,1.651,1.673
-90.0,-45.0,17.5,50.0,0.66,1.169,1.929,1.676
-90.0,-45.0,17.5,50.0,0.661,1.17,2.028,1.675
-90.0,-45.0,17.5,50.0,0.661,1.17,2.026,1.675
-90.0,-45.0,17.5,50.0,0.661,1.17,2.026,1.676
-90.0,-45.0,17.5,50.0,0.66,1.169,2.026,1.675
-90.0,-45.0,17.5,50.0,0.661,1.169,2.024,1.676
-90.0,-45.0,17.5,50.0,0.66,1.169,2.024,1.676
-90.0,-45.0,17.5,50.0,0.662,1.169,2.027,1.678
-90.0,-45.0,17.5,50.0,0.661,1.169,2.027,1.677
-90.0,-45.0,17.5,50.0,0.662,1.169,2.027,1.677
-90.0,-45.0,17.5,50.0,0.66,1.168,2.027,1.677
-90.0,-45.0,17.5,50.0,0.661,1.169,2.026,1.676
-90.0,-45.0,17.5,50.0,0.662,1.17,2.025,1.676
-90.0,-45.0,17.5,50.0,0.662,1.17,2.026,1.677
-90.0,-45.0,17.5,50.0,0.66,1.17,2.026,1.677
-90.0,-45.0,17.5,50.0,0.662,1.17,2.027,1.677
-90.0,-45.0,17.5,50.0,0.661,1.169,2.026,1.676
-90.0,-45.0,17.5,50.0,0.661,1.168,2.026,1.677
-90.0,-45.0,17.5,50.0,0.661,1.169,2.027,1.676
90.0,45.0,17.5,-50.0,0.686,1.203,2.025,1.676
90.0,45.0,-17.5,-50.0,1.051,1.588,2.027,1.402
90.0,45.0,-17.5,-50.0,1.675,2.073,1.71,1.326
90.0,45.0,-17.5,-50.0,2.326,2.161,1.197,1.329
90.0,45.0,-17.5,-50.0,2.66,2.16,1.015,1.333
90.0,45.0,-17.5,-50.0,2.676,2.159,1.012,1.332
90.0,45.0,-17.5,-50.0,2.672,2.159,1.013,1.332
90.0,45.0,-17.5,-50.0,2.672,2.16,1.013,1.331
90.0,45.0,-17.5,-50.0,2.672,2.159,1.011,1.332
90.0,45.0,-17.5,-50.0,2.671,2.158,1.012,1.329
90.0,45.0,-17.5,-50.0,2.672,2.158,1.012,1.33
90.0,45.0,-17.5,-50.0,2.675,2.157,1.013,1.33
90.0,45.0,-17.5,-50.0,2.674,2.159,1.013,1.329
90.0,45.0,-17.5,-50.0,2.672,2.158,1.013,1.33
90.0,45.0,-17.5,-50.0,2.673,2.158,1.013,1.333
90.0,45.0,-17.5,-50.0,2.675,2.159,1.013,1.332
90.0,45.0,-17.5,-50.0,2.672,2.159,1.012,1.328
90.0,45.0,-17.5,-50.0,2.673,2.157,1.011,1.331
90.0,45.0,-17.5,-50.0,2.673,2.158,1.014,1.33
90.0,45.0,-17.5,-50.0,2.673,2.159,1.013,1.331
90.0,45.0,-17.5,-50.0,2.673,2.159,1.012,1.331
90.0,45.0,-17.5,-10.0,2.673,2.16,1.014,1.335
90.0,45.0,-12.5,-10.0,2.677,2.159,1.036,1.375
90.0,45.0,-12.5,-10.0,2.674,2.159,1.325,1.376
90.0,45.0,-12.5,-10.0,2.673,2.158,1.418,1.376
90.0,45.0,-12.5,-10.0,2.673,2.16,1.417,1.378
90.0,45.0,-12.5,-10.0,2.672,2.159,1.416,1.375
90.0,45.0,-12.5,-10.0,2.673,2.156,1.418,1.377
90.0,45.0,-12.5,-10.0,2.673,2.159,1.417,1.376
90.0,45.0,-12.5,-10.0,2.673,2.158,1.417,1.375
90.0,45.0,-12.5,-10.0,2.673,2.16,1.418,1.377
90.0,45.0,-12.5,-10.0,2.673,2.159,1.417,1.377
90.0,45.0,-12.5,-10.0,2.673,2.16,1.417,1.377
90.0,45.0,-12.5,-10.0,2.674,2.16,1.417,1.379
90.0,45.0,-12.5,-10.0,2.672,2.158,1.418,1.377
90.0,45.0,-12.5,-10.0,2.676,2.159,1.418,1.375
90.0,45.0,-12.5,-10.0,2.673,2.16,1.417,1.377
90.0,45.0,-12.5,-10.0,2.676,2.16,1.418,1.377
90.0,45.0,-12.5,-10.0,2.673,2.158,1.419,1.378
90.0,45.0,-12.5,-10.0,2.674,2.158,1.417,1.375
90.0,45.0,-12.5,-10.0,2.676,2.159,1.418,1.377
90.0,45.0,-12.5,-10.0,2.674,2.157,1.418,1.377
-90.0,-45.0,-12.5,-30.0,2.676,2.164,1.418,1.38
-90.0,-45.0,-7.5,-30.0,2.331,1.815,1.423,1.42
-90.0,-45.0,-7.5,-30.0,1.682,1.271,1.24,1.423
-90.0,-45.0,-7.5,-30.0,1.028,1.172,1.226,1.423
-90.0,-45.0,-7.5,-30.0,0.669,1.168,1.223,1.426
-90.0,-45.0,-7.5,-30.0,0.663,1.17,1.223,1.426
-90.0,-45.0,-7.5,-30.0,0.663,1.168,1.223,1.426
-90.0,-45.0,-7.5,-30.0,0.661,1.169,1.223,1.426
-90.0,-45.0,-7.5,-30.0,0.663,1.169,1.224,1.427
-90.0,-45.0,-7.5,-30.0,0.663,1.168,1.222,1.425
-90.0,-45.0,-7.5,-30.0,0.662,1.171,1.225,1.426
-90.0,-45.0,-7.5,-30.0,0.662,1.169,1.224,1.425
-90.0,-45.0,-7.5,-30.0,0.661,1.169,1.225,1.426
-90.0,-45.0,-7.5,-30.0,0.661,1.169,1.223,1.427
-90.0,-45.0,-7.5,-30.0,0.661,1.17,1.224,1.426
-90.0,-45.0,-7.5,-30.0,0.662,1.168,1.225,1.425
-90.0,-45.0,-7.5,-30.0,0.663,1.17,1.224,1.426
-90.0,-45.0,-7.5,-30.0,0.663,1.169,1.222,1.425
-90.0,-45.0,-7.5,-30.0,0.662,1.17,1.223,1.425
-90.0,-45.0,-7.5,-30.0,0.664,1.169,1.223,1.424
-90.0,-45.0,-7.5,-30.0,0.66,1.169,1.223,1.426
-90.0,-45.0,-7.5,10.0,0.662,1.17,1.223,1.432
-90.0,-45.0,-2.5,10.0,0.662,1.17,1.25,1.473
-90.0,-45.0,-2.5,10.0,0.662,1.169,1.538,1.475
-90.0,-45.0,-2.5,10.0,0.662,1.169,1.621,1.477
-90.0,-45.0,-2.5,10.0,0.662,1.169,1.619,1.476
-90.0,-45.0,-2.5,10.0,0.663,1.17,1.621,1.476
-90.0,-45.0,-2.5,10.0,0.662,1.17,1.62,1.475
-90.0,-45.0,-2.5,10.0,0.662,1.168,1.619,1.474
-90.0,-45.0,-2.5,10.0,0.662,1.168,1.619,1.475
-90.0,-45.0,-2.5,10.0,0.663,1.17,1.62,1.474
-90.0,-45.0,-2.5,10.0,0.662,1.169,1.62,1.473
-90.0,-45.0,-2.5,10.0,0.662,1.171,1.62,1.474
-90.0,-45.0,-2.5,10.0,0.661,1.17,1.62,1.474
-90.0,-45.0,-2.5,10.0,0.664,1.169,1.62,1.474
-90.0,-45.0,-2.5,10.0,0.661,1.169,1.619,1.472
-90.0,-45.0,-2.5,10.0,0.663,1.17,1.621,1.474
-90.0,-45.0,-2.5,10.0,0.661,1.169,1.618,1.475
-90.0,-45.0,-2.5,10.0,0.66,1.169,1.619,1.473
-90.0,-45.0,-2.5,10.0,0.664,1.17,1.619,1.476
-90.0,-45.0,-2.5,10.0,0.661,1.169,1.62,1.474
-90.0,-45.0,-2.5,10.0,0.66,1.17,1.621,1.473
90.0,45.0,-2.5,-10.0,0.691,1.201,1.62,1.48
90.0,45.0,2.5,-10.0,1.065,1.585,1.619,1.523
90.0,45.0,2.5,-10.0,1.697,2.076,1.441,1.522
90.0,45.0,2.5,-10.0,2.349,2.16,1.426,1.524
90.0,45.0,2.5,-10.0,2.663,2.157,1.428,1.525
90.0,45.0,2.5,-10.0,2.672,2.158,1.425,1.524
90.0,45.0,2.5,-10.0,2.673,2.159,1.425,1.525
